title,description,link,hint,points,flag,section
Measure Similarity,"Professor Deadpool, the unpredictable and quirky headmaster of the Merc with a Mouth Academy, is absolutely fed up with his students copying each other's essays. He's laid down some strict anti-plagiarism rules, and he's not messing around. The students have been tasked with writing essays on their favorite topics, but Deadpool knows these little mercenaries-in-training are sneaky and might try to plagiarize just parts of each other’s work.

To catch these sneaky students, Deadpool has come up with a diabolical formula to calculate the ""Similarity"" between two strings 'A' and 'B'. It’s defined as follows:

Similarity(A,B) = 6×LCS(A,B) − 2×∣A∣−∣B∣

where:
  - LCS(A, B) is the Longest Common Subsequence between strings A and B.
  - |A| is the length of string A, and |B| is the length of string B.  


Because Deadpool always thinking three steps ahead (and loves a good challenge), he knows these students might not copy entire essays. Instead, they might only copy parts of each other’s work. So Deadpool wants you to calculate the maximum similarity for any pairs of substrings between two given strings A and B

Your mission, should you choose to accept it (and you better, unless you want Deadpool to break the fourth wall and come after you), is to find the maximum similarity score over all possible pairs of substrings (A', B'), where A' and B' are substrings of A and B, respectively.

Good luck, and remember: Deadpool is watching you!

Visit [Substring](https://en.wikipedia.org/wiki/Substring#:~:text=In%20formal%20language%20theory%20and,%22%2C%20but%20not%20a%20substring.) [Subsequence](https://en.wikipedia.org/wiki/Subsequence) for formal definitions of substring and subsequences.

The flag to this question is the answer for the above mentioned problem with 2 strings A, B",https://drive.google.com/file/d/1kWJqJXnOHtULDKbNF5AKzloZJCr05Qud/view?usp=sharing,Try thinking of a DP solution,30,CODE{18},
APIfy,"Wolverine wanted to listen to some Rolling Stones when he realized he forgot his Spotify password!
Fortunately, he left some clues for himself to get his password back in case he forgets it. This is what the clues say:

- Fetch the number of samples of the most popular song of artist id - `3qm84nBOXUEQ2vnTfUTTFC`
- Fetch the last 4 characters of the 640x640 display image of the artist of the song id - `6VObnIkLVruX4UVyxWhlqm`
- The combination of the two shall be the key
- The final password is in the format CODE{key}",,Spotify API has amazing documentation which will definitely help,30,CODE{7851270bd17},
LargerNumAandB,"You are given a string & consisting of digits with a length of n. You are also given q queries. Each query specifies indices I and r (where 1 < 1 <r <2n) such that r - 1+1 is even. For each query, Veapon and Kidpool will play a game on a new string which is a substring of a from I to r (inclusive). During the game, on their turn, each player can remove a digit from the substring and append it to their result string (as the least significant digit). Veapon always starts the game. For each query, you need to determine the outcome:
Add 1 to the answer if Veapon wins.
Add 2 to the answer if Kidpool wins.
Make no change to the answer if it is a draw.
Your task is to output the final answer after processing all queries.

Input 
You are given the length of the string.
You are then given the string x.
You are given q the number of queries.
You are then given q lines each of which contain 2 number l and r.

Key is the answer in this format (e.g: `CODE{6969}`)",,Prefix sums,30,CODE{9986},
Virtues Matter,"**Bas**ically, the link below will need you to multiply your twos six times. If you encounter any string of the form “+text+”, you will have to replace that string with a character. (Which character? The “text” part of the string will help you figure that out.) At the end of this journey, you will find a flag, which has to be submitted as CODE{flag}.",https://drive.google.com/drive/folders/1E90f13GNalIzgBGAy_80J93jSBotst_l?usp=sharing,Convert the image(s) into another format.,30,CODE{patience},
Hard-Core Theoretical Systematic Wordsmith,Open both files and you’ll understand what is to be done. The highlighted letters are to be unscrambled to get the familiar flag. The words of the flag are in uppercase and have to be separated by a ‘_’ before submitting it as CODE{flag}. ,https://drive.google.com/drive/folders/1fHhj2YvzZat2OqBV-jk5SRfPyJUc0-JM?usp=drive_link,"Explore the concepts of OS, DBMS and Computer Architecture. The flag is related to a CS personality.",30,CODE{TURING_AWARD},
USE_YOUR_BRAIN_CAESAR,"Deadpool's favorite fictional character, Julius Caesar, the king is stuck! Even his mighty brain is failing him today! So, he pleads with you to use your brain and help him get out of this sticky situation! Once again, do not forget to help Julius get out of this situation, and use your brain to the max extent to make this happen!!

Enter the flag in this format: `CODE{FLAG}`",https://www.mediafire.com/file/sx2w5379ytx6a31/Use_your_brain_caesar.txt/file,"1. Use brainfuck decoder
2. Use Caesar cipher",30,CODE{ICELAND},
ImgId,"In the midst of the chaotic battle against Cassandra Nova's forces, Wade and Logan uncover a crucial set of encrypted messages—sent by Pyro just before his betrayal. These messages are hidden within a series of image embedding files, each corresponding to a particular candidate description of that embedding.

To decode Pyro’s hidden instructions and reveal the full extent of Paradox’s treachery, you must identify which sentence best describes each image based on its embedding, effectively aligning the images with their hidden messages.

Return the string made up of the indexes of the sentences given in the text file, in the order in which the embeddings that they are captioning for are numbered.

Remember to enclose the string within CODE{ } as the final flag!

Example flag: CODE{12345678910}.",https://docs.google.com/document/d/1tYsJ2xjnWw_B7MzB8lvZXEYJZ424biiFfSaBqOyLDiA/edit?usp=sharing,"1. Try to decode the secret message from the following image:
https://drive.google.com/file/d/1-hSKK3-oquYdXWYwmkaqJLUSnaHL53x0/view?usp=sharing

2. Find a clever way to clip the right description to each image.",35,CODE{56724810931},5
Cracking the Nazi Cipher,"As the battle rages on, Wade and Logan stumble upon an intercepted communication from Paradox’s allies—a Nazi contingent guarding a crucial piece of information. The message is encoded, and only by breaking the cipher can Wade and Logan uncover the next steps to thwarting Paradox's plan.

The intercepted message reads:

OZKALAWUKOITFOUC

The Nazis have been nice enough to provide a riddle to guide you to the answer. (Yes, they are racist even about your intelligence, PROVE THEM WRONG!!) The Nazis, always arrogant and condescending, have encoded it in their preferred format: upper-case letters only.

Can you crack the Nazi cipher and uncover the flag, soldier? The multiverse depends on your success!

Remember to enclose the text within CODE{ } to form the final flag!",https://drive.google.com/file/d/1O4qdiqF5jdOod2oPUbww5STZcv_vTUlL/view?usp=sharing,The riddle contains the settings of the Enigma Machine.,35,CODE{THEIMITATIONGAME},5
The Lost Super Potato - Part 1,"In the midst of the rebellion, Wade and Logan receive a strange request from an unexpected ally—a farmer named Raphson. Amidst the chaos of war, Raphson has lost something incredibly valuable: a super potato, the only one of its kind. This potato is no ordinary vegetable—it grants unimaginable powers to the wielder.

Desperate to find it, Raphson turns to the brilliant but costly Newton for help. However, with resources stretched thin in the war, they can only afford Newton’s expertise 200 times. 

The last known location of this precious root? A mysterious point at 10.

Raphson shares his secret formula, the only clue to where the potato might be hidden: `2020x^199 + x^3 - 2`

Aight Newton, You're on!

Note: Submit the first four digits after the decimal point, enclosed with CODE{}, as the flag.",,"I wonder...is Potato a Vegetable or a Fruit?
What veggies and fruits are just culinary classification?
And in fact Potatoes are neither? MOTHER-Cough
Well what is it then?
...
I'll have to find that out?",35,CODE{6510},5
Cracking the Cloud,"In the heat of battle, Wade and Logan uncover a critical piece of information hidden in a secure cloud storage by Paradox. To retrieve the flag that could change everything, you need to get past a login page—a test of your development skills. Good luck!

Note: Remember to enclose your answer within CODE{ } to form the final flag!",https://effortless-truffle-8773b1.netlify.app/,"1. Use basic dev tool that every developer must know...
2. Once you get a text, it is not in it's usual form, decode it and find what it is..
3. Explore all methods of requests...",35,CODE{fjkIkd_43oijng_nksdjn},5
aHOY 128 eVIL sPIES!,"Amidst the chaos, Wade and Logan receive a critical transmission from their chief, who has been captured by the enemy. Severely injured and under heavy guard, the chief has managed to send a final encrypted message before slipping into unconsciousness.

This message holds the identity of an organization. However, Paradox's forces have encrypted the data, locking it away behind layers of security. With time running out and the enemy closing in, Wade and Logan must decipher this message to uncover the organization’s name and gain the upper hand. Every second counts, good luck!

The message:
YOUR CHIEF IS FEEDING ALL 0’S IN HIS iNTRAvENOUS TUBE. THE TUBE IS LOCKED USING ‘IEEENITK’ AS THE hex key. HIS WRITING pad HAD ‘pkcs5’ WRITTEN ON IT.

Note: Remember to enclose the name IN CAPITAL within CODE{ } !",https://drive.google.com/drive/folders/1vM6XrGANDSfi3xVedu0OV4qgAyYGthbm?usp=drive_link,Focus on the lowercase letters in the title and description.,35,CODE{IRIS},5
Interstellar Menagerie,"As Wade and Logan continue their fight, they stumble upon a cryptic message leading to a hidden sanctuary—an interplanetary zoo of cosmic wonders. However, its secrets are shrouded in the hues of the rainbow. Delve into the realms of serpentian literature to uncover the chromatic keys to this celestial menagerie.

Message: QmYy2vnGptT1UA43Gmsqyqg85TYaGFWq5wLKQqxbsRiqqQ

Submit the final decrypted word as `CODE{flag-text}`.",,"""Failing to traverse the entire expanse of a research paper is tantamount to embarking on a perilous journey but halting mere steps from the summit. Each word left unread becomes a weight upon the soul, a missed opportunity, and a risk to the vitality of one's intellectual fortitude.""",35,CODE{KA3E},5
The Sage’s Challenge,"As Wade and Logan gear up for the final battle against Cassandra Nova, they encounter an ancient sage who guards the entrance to Treasure Valley. The valley, famed for its hidden gemstones and intricate puzzles, holds the key to powerful resources that could aid in the fight.

The sage presents a challenge to the duo: before they can access the treasures, they must solve a riddle involving the gemstones of the valley. These gemstones are laid out in a sequence (A1, A2, A3, ... An), and the task is to calculate the maximum sum of all possible positive differences between the values of these gemstones, taken in pairs, where the second gemstone in the pair is always positioned to the right of the first.

For example, given a sequence (2, 1, 3), the maximum sum possible through positive differences is calculated as `(3-2) + (3-1) = 3`. Note that (1-2) is discarded as it reduces the sum.

The first line of the test case will provide the value 𝑁, the number of gemstones. The subsequent 𝑁 values are the values of the gemstones given in order.

Note: As the answer might be large, return the answer modulo 1e7.

Remember to enclose your answer within CODE{ } as the final flag!",https://drive.google.com/file/d/1vfoJ_wuuA-76ybWX3AjXG7RCg_LqWv0P/view?usp=sharing,"The test case is large, so try using some range query data structure.",35,CODE{6563196},5
The Merchant's Dilemma,"As the resistance prepares for its final stand against Cassandra Nova's forces, Wade and Logan encounter Ethan, a shrewd merchant from the mysterious Land of AmeriCo. Ethan is on a critical mission—he's determined to gather resources by participating in markets spread across various towns. Each town, with its unique character, holds the promise of profit, but reaching these towns comes at a cost.

There exist 𝑁 towns—Libertyville, Springfield, Oakdale, Brooksville, and Rivertown, among others. The cost to travel between them is steep, calculated by a fixed rate of 𝐶 dollars per unit distance. The towns are all arranged in a straight line - the distance between the ith and jth towns is j - i units, where j > i. With each of the M markets offering a specific profit, Ethan must decide carefully which markets to attend to maximize his earnings, especially since every toll he pays chips away at his potential profit.

Each market i is described by a pair of integers (Ti,Pi), where Ti is the  hosting town and Pi is the potential profit from that town. Markets are scheduled sequentially so the ith market concludes before the (i+1)th market, and Ethan can move at the speed of light so time of travel is redundant.

Ethan emarks on his jounrney with an inital capital of 10^(100^100). His objective is to maximise the profits, you have to help him do so. The flag is the maximum profit you can earn from the given markets. eg; if initial capital + X is amount Ethan earned then the flag is X.

The first line of your input will provide the values 𝑁 (the number of towns) and 𝐶 (the cost per unit distance). The second line will give the value 𝑀, the number of markets. The next 𝑀 lines will provide the values 𝑇𝑖 (the town where the market is held) and 𝑃𝑖 (the potential profit at that town).

Remember to enclose your answer within CODE{ } as the final flag!",https://drive.google.com/file/d/1NxmJGyW9h0eAUoGiUnjdK3LiEsA6VY3-/view?usp=sharing,Try to find an efficient dynamic programming solution.,35,CODE{1170497},5
Cracking the Core,"As Wade and Logan prepare to disrupt the Time Ripper, they encounter an impenetrable encryption device designed by Cassandra Nova to protect the core of the device, which works by capturing images of it's user. This encryption is based on Self-Attention mechanism, originally conceived for sequence modeling and is part of the Transformer architecture in the paper “Attention is All You Need”, but now is adapted to Convolutional NNs as proposed in the paper here: https://arxiv.org/pdf/1805.08318 (Pay attention to Figure 2 and Section 3).

To crack the encryption, Wade and Logan need to calculate specific parameter shapes of the Self-Attention network. The encryption is fed with an input image of shape (1, 64, 64, 64), that is, the number of channels, width and height are all 64 with a batch size of 1. Wade knows that to crack the code, they must determine:

-- Q: The output shape of the query convolution step.
-- K: The shape of the RESHAPED output of the key convolution step (after reshaping).
-- V: The output shape of the value convolution step.
-- O: The shape of the final output of the Self-Attention layer.

Once Wade and Logan figure out these shapes, they need to calculate the encryption key to the core using the formula:

[ (3 * Q[1] * K[2] * V[3]) / (O[1] + O[2] + O[3]) ]

Can you help Wade and Logan crack the code by finding the correct integer value of the encryption key?

Important note: Self Attention in CNNs can have many variations. For this question, please keep in mind the following:

  - IGNORE the last 1x1 convolution just before the output.
  - Do NOT reshape the input before calculating Q,V and K. Reshape accordingly just after.
 - All shapes are to be represented as (B, C, W, H).

Remember to enclose your answer within CODE{ } as the final flag!",,The output shape and input shape should remain the same.,40,CODE{32768},6
The Lost Super Potato - Part 2,"Just when Wade and Logan thought they had it all figured out, the situation takes an even stranger turn. After tracking down the super potato in the one-dimensional realm, it suddenly warps through multidimensional space, vanishing before their eyes. The potato, now  a multidimensional object, is more elusive than ever—and its recovery is critical to winning the final battle against Paradox.

Raphson, desperate and out of options, calls on Newton once more. But this time, its different. In this bizarre, multidimensional reality, finding the exact location of the super potato is nearly impossible. Instead, they must pinpoint the most likely—or least likely—location.

The probability that the potato is at any given location is dictated by a strange equation, link to which is given below.

The current coordinates are scattered across dimensions:

x = {3, 54, 4, 25, 68, 75, 100, 85, 54, 33}

Newton can only help 20 times before resources run dry, and the battle reaches its climax. The complexity of this world is overwhelming, even for a lowly 3-dimensional creature like you. But there’s hope—you just need to submit the first coordinate of the answer to save the day.

Note: Divide the first coordinate by 100 and submit the interger value, enclosed with CODE{}, as the flag.",https://drive.google.com/file/d/1VH0QZaSEM3c2oJJoETpiYTm6KUMlK5ls/view?usp=sharing,Have you tried using sympy?,40,CODE{812},6
Save Me,"As Wade and Logan face the final showdown against Paradox, they receive a desperate call from an old ally—a doctor who has been treating a mysterious patient known as Masochistic Saw. The doctor has just received a cryptic binary file from the patient, along with a note that reads:

""Here is a binary file—crack it and my symptoms will be revealed (please hurry, it hurts). Let us C if you can figure it out.""  
-Masochistic Saw.

The patient's sanity is hanging by a thread, and time is running out. Crack the binary file and reveal the patient’s symptoms. The fate of the patient depends on you.

Note: Remember to enclose your answer within CODE{ } to form the final flag!",https://www.mediafire.com/file/puiyz37yxwznqii/saveme.exe/file,"The source code of the binary uses a simple XOR Encryption on the input and adds 33 to make the output printable. To solve this we need to decompile it and figure the above approach out and find the cypher text
of the flag.
Make a XOR decrypter and find the flag.",40,CODE{OwiBrainHurts},6
A Deterministic Guess,"As Wade and Logan inch closer to disabling the Time Ripper, they uncover a crucial sub-task that could determine the fate of the multiverse. The key to their success lies in deciphering a hidden array of 64 distinct elements, which shifts and changes each time the program is executed.

In this tense moment, they must strategically query the array with Query: ""l r"" (where 1 <= l <= r <= 64), which returns the value of the second largest element within any subarray [l, r]. Armed with this information, they need to pinpoint two specific indices, i and j. If either of these indices contains the maximum element in the array, they will unlock the flag necessary to advance.

You have at most 15 queries to make, including the final guess of the indices. The exact rules for querying and guessing will be provided when the program runs.",https://drive.google.com/file/d/1XCqdE_3w0wmWnCG6vPp9EKMzsqE5_-c6/view?usp=sharing,Binary Search.,40,CODE{c0mp3t!t!v3_pr0gr@mm!ng_!$_c00L},6
The Web of Destiny,"As Wade and Logan face the final confrontation against Cassandra Nova, they find themselves trapped in a dimension known as the Web of Destiny, a place where reality itself is woven together by intricate, invisible threads. The only way to break free and confront Cassandra is to unravel the web, which has ensnared their path forward.

This dimension is represented as a weighted, undirected graph G with N nodes, each corresponding to a point of destiny. Initially, these nodes are disconnected, but with each move, the web becomes more complex as new threads—symbolizing connections between the nodes—are added.

We perform M operations to add these threads to the Web of Destiny. In the i-th operation (1≤i≤M), you are given a subset of destiny points Si = {Ai1, Ai2, ...., Aik} consisting of Ki points. For every pair of points u and v within this subset, a thread with weight Ci is added between them.

After all M operations, the web will be fully formed, representing the intricate connections that bind their fate. However, the only way to break free is to find the lightest path—a minimum spanning tree—that will sever the web’s hold on them.

Your task is to calculate the total weight of this minimum spanning tree, which will free Wade and Logan from the Web of Destiny, allowing them to finally face Cassandra Nova and decide the fate of the multiverse.

The first line in the test case contains the values of N and M respectively. The next M pairs of lines correspond to the M operations to be performed, where the first line of each pair contains the Ki and Ci values of that operation, and the second line contains Ki values corresponding to the node values Ai1, Ai2, ..., Aik of that operation.

Note: As the answer might be large, return the answer modulo 1e7.

Remember to enclose your answer within CODE{ } as the final flag!",https://drive.google.com/file/d/1e6W4_javUIdvWoi_yUDKHykaPprXDdHH/view?usp=sharing,Are all conections required? Can you make only the necessary connections for the sake of calculating the MST. The test case is very large so find the most efficient solution,40,CODE{4605390},6
The Mysterious Numbers,"In the heat of the final battle, Wade and Logan come across a set of mysterious numbers left behind by Vegapunk. These numbers hold the key to a secret box containing vital information about a powerful ancient weapon.

Before he died, Vegapunk hinted that the solution involves square numbers, and some multiplication might be necessary.

As Wade and Logan press forward in their battle against the Time Ripper, they stumble upon an ancient code that could turn the tide in their favor. This code, deeply tied to a legendary weapon of immense power, must be deciphered to unlock the secrets that could save the multiverse.

Before his demise, Vegapunk—a brilliant mind lost to time—left behind a series of mysterious numbers. These numbers, encrypted and shrouded in secrecy, hold the key to a top-secret box containing crucial information about the legendary weapon. To retrieve the key, guided by Vegapunk’s obsession with square numbers, you must find subsets that are special to Vegapunk.

But beware, the path is not straightforward—multiplication is involved in unlocking the true power of these numbers.

Can you unlock the secrets and give Wade and Logan the edge they need to save the multiverse and count your way to the mystery?

Note: As the answer might be large, return the answer modulo 1e7.

Remember to enclose your answer within CODE{ } as the final flag!",https://drive.google.com/drive/folders/1oS1Tr3SPcfe-azJQIH6VhuVj8h4yEs6i?usp=sharing,"1. Vegapunk probably wants you to find the number of subsets from the given numbers such that the product of all elements in that subset is a perfect square.
2. Did you try dynamic programming? Hmm xor sounds interesting too...",40,CODE{8185645},6
The Time Ripper Dilemma,"The multiverse is on the brink of collapse, and the Time Ripper is tearing through the fabric of reality. You have a multiverse of n realities, each with its own unique anchor reality, represented for the i'th reality by Ai (for 1 <= ai <= n, note that ai = i might also be possible). Each reality is stable only if its anchor reality is also stable. A reality is considered to be in the same temporal group as another if their stability is interlinked—one being stable implies that the other is stable too.

Your mission: Select the maximum number of realities that can be stabilized such that, for each reality you stabilize, there exists exactly one other temporal group that isnt in it's own temporal group.

The inputs provided are guaranteed to make this delicate balancing act possible.

Input Format: N A1 A2 A3 ... An

Remember to enclose your answer within CODE{ } as the final flag!",https://drive.google.com/drive/folders/1mgBb8ljizdCzOMuKH6NWCyZFrndWp6o5?usp=sharing,You need to find two of the largest independent temporal groups. Consider permutation cycles of grouped realities!,40,CODE{700},6
